# FDR<0.05 AND Fc>4  or <4 met-2; set-25 vs WT ,
# Genes up in GW638  FDR & 4Fc,
# 219 genes,
WORMBASE_GENE_ID,638-N2_edgeR&fC,Input,Suggested Match,History
WBGene00044547,1,WBGene00044547,WBGene00044547,History: N.A.
WBGene00015723,1,WBGene00015723,WBGene00015723,History: N.A.
WBGene00015725,1,WBGene00015725,WBGene00015725,History: N.A.
WBGene00000612,1,WBGene00000612,WBGene00000612,History: N.A.
WBGene00000676,1,WBGene00000676,WBGene00000676,History: N.A.
WBGene00001729,1,WBGene00001729,WBGene00001729,History: N.A.
WBGene00000613,1,WBGene00000613,WBGene00000613,History: N.A.
WBGene00044589,1,WBGene00044589,WBGene00044589,History: N.A.
WBGene00000851,1,WBGene00000851,WBGene00000851,History: N.A.
WBGene00001726,1,WBGene00001726,WBGene00001726,History: N.A.
WBGene00000731,1,WBGene00000731,WBGene00000731,History: N.A.
WBGene00000688,1,WBGene00000688,WBGene00000688,History: N.A.
WBGene00001732,1,WBGene00001732,WBGene00001732,History: N.A.
WBGene00017095,1,WBGene00017095,WBGene00017095,"History: Split into E02C12.19(WBGene00271797). History of WBGene00017095: Split into ""WBGene00271797"" on 2017-09-21"
WBGene00000756,1,WBGene00000756,WBGene00000756,History: N.A.
WBGene00008853,1,WBGene00008853,WBGene00008853,History: N.A.
WBGene00008862,1,WBGene00008862,WBGene00008862,History: N.A.
WBGene00050906,1,WBGene00050906,WBGene00050906,History: N.A.
WBGene00009061,1,WBGene00009061,WBGene00009061,"History: Split into pals-15(WBGene00044707). History of WBGene00009061: Split into ""WBGene00044707"" on 2006-01-13"
WBGene00009431,1,WBGene00009431,WBGene00009431,History: N.A.
WBGene00000736,1,WBGene00000736,WBGene00000736,History: N.A.
WBGene00000622,1,WBGene00000622,WBGene00000622,History: N.A.
WBGene00000621,1,WBGene00000621,WBGene00000621,History: N.A.
WBGene00000758,1,WBGene00000758,WBGene00000758,History: N.A.
WBGene00019178,1,WBGene00019178,WBGene00019178,History: N.A.
WBGene00019179,1,WBGene00019179,WBGene00019179,History: N.A.
WBGene00001712,1,WBGene00001712,WBGene00001712,History: N.A.
WBGene00005005,1,WBGene00005005,WBGene00005005,"History: Split into spp-27(WBGene00271815). History of WBGene00005005: Split into ""WBGene00271815"" on 2017-09-21"
WBGene00044293,1,WBGene00044293,WBGene00044293,History: N.A.
WBGene00000659,1,WBGene00000659,WBGene00000659,History: N.A.
WBGene00006419,1,WBGene00006419,WBGene00006419,History: Renamed on 2008-07-18
WBGene00001728,1,WBGene00001728,WBGene00001728,History: N.A.
WBGene00000617,1,WBGene00000617,WBGene00000617,History: N.A.
WBGene00000660,1,WBGene00000660,WBGene00000660,History: N.A.
